# Comprehensive S&P 500 Stock List
# This file contains major S&P 500 stocks organized by sector
# Format: SYMBOL,Company Name,Sector

# Information Technology (Mega Cap)
IQV,IQVIA Holdings Inc.,Health Care
A,Agilent Technologies Inc.,Health Care
MTD,Mettler-Toledo International Inc.,Health Care
DGX,Quest Diagnostics Incorporated,Health Care
LH,Laboratory Corporation of America Holdings,Health Care

# Consumer Staples
WMT,Walmart Inc.,Consumer Staples
PG,The Procter & Gamble Company,Consumer Staples
KO,The Coca-Cola Company,Consumer Staples
PEP,PepsiCo Inc.,Consumer Staples
COST,Costco Wholesale Corporation,Consumer Staples
PM,Philip Morris International Inc.,Consumer Staples
MO,Altria Group Inc.,Consumer Staples
MDLZ,Mondelez International Inc.,Consumer Staples
CL,Colgate-Palmolive Company,Consumer Staples
GIS,General Mills Inc.,Consumer Staples
K,Kellanova,Consumer Staples
CPB,Campbell Soup Company,Consumer Staples
KHC,The Kraft Heinz Company,Consumer Staples
HSY,The Hershey Company,Consumer Staples
SJM,The J.M. Smucker Company,Consumer Staples
CAG,Conagra Brands Inc.,Consumer Staples
KMB,Kimberly-Clark Corporation,Consumer Staples
CHD,Church & Dwight Co. Inc.,Consumer Staples
CLX,The Clorox Company,Consumer Staples
EL,The Estée Lauder Companies Inc.,Consumer Staples
TAP,Molson Coors Beverage Company,Consumer Staples
STZ,Constellation Brands Inc.,Consumer Staples
BF-B,Brown-Forman Corporation Class B,Consumer Staples
KDP,Keurig Dr Pepper Inc.,Consumer Staples
MNST,Monster Beverage Corporation,Consumer Staples

# Energy
XOM,Exxon Mobil Corporation,Energy
CVX,Chevron Corporation,Energy
COP,ConocoPhillips,Energy
SLB,Schlumberger Limited,Energy
EOG,EOG Resources Inc.,Energy
PSX,Phillips 66,Energy
MPC,Marathon Petroleum Corporation,Energy
VLO,Valero Energy Corporation,Energy
OXY,Occidental Petroleum Corporation,Energy
HES,Hess Corporation,Energy
DVN,Devon Energy Corporation,Energy
HAL,Halliburton Company,Energy
BKR,Baker Hughes Company,Energy
FANG,Diamondback Energy Inc.,Energy
MRO,Marathon Oil Corporation,Energy
APA,APA Corporation,Energy
NOV,NOV Inc.,Energy
HP,Helmerich & Payne Inc.,Energy

# Industrials
BA,The Boeing Company,Industrials
CAT,Caterpillar Inc.,Industrials
GE,General Electric Company,Industrials
UPS,United Parcel Service Inc.,Industrials
RTX,RTX Corporation,Industrials
HON,Honeywell International Inc.,Industrials
UNP,Union Pacific Corporation,Industrials
DE,Deere & Company,Industrials
LMT,Lockheed Martin Corporation,Industrials
MMM,3M Company,Industrials
GD,General Dynamics Corporation,Industrials
NOC,Northrop Grumman Corporation,Industrials
TXT,Textron Inc.,Industrials
ETN,Eaton Corporation plc,Industrials
EMR,Emerson Electric Co.,Industrials
ITW,Illinois Tool Works Inc.,Industrials
PH,Parker-Hannifin Corporation,Industrials
ROK,Rockwell Automation Inc.,Industrials
CMI,Cummins Inc.,Industrials
FDX,FedEx Corporation,Industrials
NSC,Norfolk Southern Corporation,Industrials
CSX,CSX Corporation,Industrials
R,Ryder System Inc.,Industrials
CARR,Carrier Global Corporation,Industrials
OTIS,Otis Worldwide Corporation,Industrials
PCAR,PACCAR Inc.,Industrials
IR,Ingersoll Rand Inc.,Industrials
AME,AMETEK Inc.,Industrials
DOV,Dover Corporation,Industrials
XYL,Xylem Inc.,Industrials
FAST,Fastenal Company,Industrials
CHRW,C.H. Robinson Worldwide Inc.,Industrials
EXPD,Expeditors International of Washington Inc.,Industrials
JBHT,J.B. Hunt Transport Services Inc.,Industrials
ODFL,Old Dominion Freight Line Inc.,Industrials
J,Jacobs Solutions Inc.,Industrials
LUV,Southwest Airlines Co.,Industrials
AAL,American Airlines Group Inc.,Industrials
DAL,Delta Air Lines Inc.,Industrials
UAL,United Airlines Holdings Inc.,Industrials
SAVE,Spirit Airlines Inc.,Industrials

# Utilities
NEE,NextEra Energy Inc.,Utilities
DUK,Duke Energy Corporation,Utilities
SO,The Southern Company,Utilities
D,Dominion Energy Inc.,Utilities
AEP,American Electric Power Company Inc.,Utilities
EXC,Exelon Corporation,Utilities
SRE,Sempra,Utilities
PEG,Public Service Enterprise Group Inc.,Utilities
XEL,Xcel Energy Inc.,Utilities
ED,Consolidated Edison Inc.,Utilities
ES,Eversource Energy,Utilities
FE,FirstEnergy Corp.,Utilities
EIX,Edison International,Utilities
PPL,PPL Corporation,Utilities
WEC,WEC Energy Group Inc.,Utilities
DTE,DTE Energy Company,Utilities
ETR,Entergy Corporation,Utilities
AES,The AES Corporation,Utilities
CMS,CMS Energy Corporation,Utilities
NI,NiSource Inc.,Utilities
LNT,Alliant Energy Corporation,Utilities
CNP,CenterPoint Energy Inc.,Utilities
AWK,American Water Works Company Inc.,Utilities

# Real Estate
AMT,American Tower Corporation,Real Estate
PLD,Prologis Inc.,Real Estate
CCI,Crown Castle Inc.,Real Estate
EQIX,Equinix Inc.,Real Estate
PSA,Public Storage,Real Estate
WELL,Welltower Inc.,Real Estate
DLR,Digital Realty Trust Inc.,Real Estate
SBAC,SBA Communications Corporation,Real Estate
O,Realty Income Corporation,Real Estate
AVB,AvalonBay Communities Inc.,Real Estate
EQR,Equity Residential,Real Estate
VTR,Ventas Inc.,Real Estate
MAA,Mid-America Apartment Communities Inc.,Real Estate
ESS,Essex Property Trust Inc.,Real Estate
UDR,UDR Inc.,Real Estate
HST,Host Hotels & Resorts Inc.,Real Estate
VICI,VICI Properties Inc.,Real Estate
BXP,Boston Properties Inc.,Real Estate
ARE,Alexandria Real Estate Equities Inc.,Real Estate
VNO,Vornado Realty Trust,Real Estate
SLG,SL Green Realty Corp.,Real Estate
KIM,Kimco Realty Corporation,Real Estate

# Materials
LIN,Linde plc,Materials
APD,Air Products and Chemicals Inc.,Materials
SHW,The Sherwin-Williams Company,Materials
FCX,Freeport-McMoRan Inc.,Materials
NEM,Newmont Corporation,Materials
ECL,Ecolab Inc.,Materials
DD,DuPont de Nemours Inc.,Materials
DOW,Dow Inc.,Materials
PPG,PPG Industries Inc.,Materials
NUE,Nucor Corporation,Materials
VMC,Vulcan Materials Company,Materials
MLM,Martin Marietta Materials Inc.,Materials
ALB,Albemarle Corporation,Materials
CTVA,Corteva Inc.,Materials
CE,Celanese Corporation,Materials
FMC,FMC Corporation,Materials
IFF,International Flavors & Fragrances Inc.,Materials
LYB,LyondellBasell Industries N.V.,Materials
MOS,The Mosaic Company,Materials
CF,CF Industries Holdings Inc.,Materials
EMN,Eastman Chemical Company,Materials
IP,International Paper Company,Materials
PKG,Packaging Corporation of America,Materials
WRK,WestRock Company,Materials
BALL,Ball Corporation,Materials
AVY,Avery Dennison Corporation,Materials
